City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Saskylakh,RU,71.9167,114.0833,-34.26,100,98,0.92,overcast clouds
79,Clyde River,CA,70.4692,-68.5914,7.03,85,100,29.93,light snow
80,Airai,TL,-8.9266,125.4092,70.38,63,100,2.37,overcast clouds
81,Patacamaya,BO,-17.2333,-67.9167,52.68,65,92,12.82,overcast clouds
82,Geraldton,AU,-28.7667,114.6,68.13,55,0,19.57,clear sky
83,Hobyo,SO,5.3505,48.5268,78.66,68,77,15.19,broken clouds
84,Urucara,BR,-2.5364,-57.76,80.11,77,100,1.36,light rain
85,Kapaa,US,22.0752,-159.319,82.38,74,40,5.99,moderate rain
86,Arica,CL,-18.475,-70.3042,66.43,72,0,4.61,clear sky
87,Touros,BR,-5.1989,-35.4608,81.5,74,79,11.01,broken clouds
88,Cherskiy,RU,68.75,161.3,-30.06,100,98,4.21,overcast clouds
89,Puerto Ayora,EC,-0.7393,-90.3518,69.98,84,76,10.13,broken clouds
90,Kalmunai,LK,7.4167,81.8167,75.87,85,99,4.03,overcast clouds
91,Kruisfontein,ZA,-34.0033,24.7314,63.88,87,58,12.77,broken clouds
92,Komsomolskiy,UZ,40.4272,71.7189,36.82,64,0,2.3,clear sky
93,Lebu,CL,-37.6167,-73.65,56.3,87,87,10.09,overcast clouds
94,Thompson,CA,55.7435,-97.8558,-0.24,78,90,6.91,light snow
95,Kesinga,IN,20.2,83.2333,57.74,82,5,1.41,clear sky
96,Makokou,GA,0.5738,12.8642,70.68,94,100,2.62,overcast clouds
97,Plettenberg Bay,ZA,-34.0527,23.3716,61.48,89,52,7.0,light rain
98,Norman Wells,CA,65.282,-126.8329,-25.44,98,99,4.0,overcast clouds
99,Vila,PT,42.0304,-8.1588,41.32,90,100,6.8,light rain
100,Cabo San Lucas,MX,22.8909,-109.9124,82.51,50,40,1.99,scattered clouds
101,Hithadhoo,MV,-0.6,73.0833,81.46,76,99,6.15,overcast clouds
102,Kilindoni,TZ,-7.9139,39.6668,80.71,76,50,9.93,scattered clouds
103,Busselton,AU,-33.65,115.3333,64.04,58,25,12.37,scattered clouds
104,Ulverstone,AU,-41.15,146.1667,75.29,71,11,7.07,few clouds
105,Sigli,ID,5.3848,95.9609,77.07,77,55,4.45,broken clouds
106,Bady Bassitt,BR,-20.9181,-49.4453,76.46,49,15,1.61,few clouds
107,Kahului,US,20.8947,-156.47,85.26,72,20,18.41,light rain
108,Porto Novo,BJ,6.4965,2.6036,80.02,84,68,6.58,broken clouds
109,Chara,RU,56.9064,118.2631,-1.89,82,85,1.95,overcast clouds
110,Cairns,AU,-16.9167,145.7667,93.11,63,39,10.36,scattered clouds
111,Bagotville,AU,-28.9833,153.4167,76.64,85,42,9.98,scattered clouds
112,Xinan,CN,26.72,119.8556,47.95,69,1,4.76,clear sky
113,Semporna,MY,4.4818,118.6112,80.22,83,100,5.97,overcast clouds
114,Belleville,CA,44.1788,-77.3705,41.0,84,100,9.22,light rain
115,Bengkulu,ID,-3.8004,102.2655,75.0,86,26,5.17,scattered clouds
116,Baijiantan,CN,45.6333,85.1833,22.87,56,0,4.41,clear sky
117,Pisco,PE,-13.7,-76.2167,66.25,77,0,16.11,clear sky
118,Byron Bay,AU,-28.65,153.6167,78.87,73,77,12.64,broken clouds
