City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Amos,CA,2021-11-29 23:38:58,48.5669,-78.1162,19.67,97,95,2.33
69,Kodiak,US,2021-11-29 23:40:59,57.79,-152.4072,36.91,87,90,19.57
70,Kang,BW,2021-11-29 23:40:59,-23.6752,22.7876,73.38,56,65,6.46
71,San Cristobal,VE,2021-11-29 23:40:59,7.7669,-72.225,73.58,95,98,2.15
72,Komsomolskiy,UZ,2021-11-29 23:41:00,40.4272,71.7189,35.02,80,59,4.61
73,Quatre Cocos,MU,2021-11-29 23:41:00,-20.2078,57.7625,74.08,73,4,7.23
74,Atuona,PF,2021-11-29 23:41:00,-9.8,-139.0333,78.89,77,18,22.24
75,Henties Bay,NA,2021-11-29 23:41:01,-22.116,14.2845,59.86,93,0,6.8
76,Port Alfred,ZA,2021-11-29 23:41:01,-33.5906,26.891,68.32,89,91,7.4
77,Geraldton,AU,2021-11-29 23:41:02,-28.7667,114.6,66.61,63,75,10.36
78,Ponta Do Sol,PT,2021-11-29 23:41:02,32.6667,-17.1,63.72,69,53,4.09
79,Severo-Kurilsk,RU,2021-11-29 23:41:02,50.6789,156.125,32.36,68,94,33.08
80,Bluff,NZ,2021-11-29 23:41:03,-46.6,168.3333,59.81,73,97,4.27
81,Peleduy,RU,2021-11-29 23:41:03,59.6289,112.7406,7.3,93,100,8.55
82,Paita,PE,2021-11-29 23:41:03,-5.0892,-81.1144,68.56,81,87,16.98
83,Mount Isa,AU,2021-11-29 23:41:04,-20.7333,139.5,87.57,19,24,12.66
84,Saint-Philippe,RE,2021-11-29 23:41:04,-21.3585,55.7679,74.75,86,64,7.99
85,Hithadhoo,MV,2021-11-29 23:41:04,-0.6,73.0833,81.28,79,70,13.49
86,Marsaxlokk,MT,2021-11-29 23:41:05,35.8419,14.5431,55.08,71,40,24.16
87,Mezen,RU,2021-11-29 23:41:05,65.8522,44.24,4.6,99,92,5.35
88,Bayanday,RU,2021-11-29 23:41:05,53.0661,105.5139,16.18,96,100,6.15
89,Port Shepstone,ZA,2021-11-29 23:41:06,-30.7414,30.455,69.75,90,34,9.06
90,Price,US,2021-11-29 23:41:06,39.5994,-110.8107,58.71,28,1,0.0
91,Longyearbyen,SJ,2021-11-29 23:36:55,78.2186,15.6401,10.24,67,20,13.8
92,West Bay,KY,2021-11-29 23:41:07,19.3667,-81.4167,78.87,70,20,1.01
93,Pundaguitan,PH,2021-11-29 23:42:07,6.3711,126.1689,81.79,79,97,4.81
94,Anadyr,RU,2021-11-29 23:42:08,64.75,177.4833,-7.1,84,40,2.24
95,Ndele,CF,2021-11-29 23:42:08,8.4109,20.6473,81.01,31,99,2.17
96,Viedma,AR,2021-11-29 23:42:08,-40.8135,-62.9967,60.4,53,9,7.61
97,Chokurdakh,RU,2021-11-29 23:42:09,70.6333,147.9167,-13.52,99,100,3.47
98,Broome,US,2021-11-29 23:42:09,42.2506,-75.833,26.98,78,1,3.0
99,Alta Floresta,BR,2021-11-29 23:42:09,-9.8756,-56.0861,72.81,94,100,1.32
100,Santiago Del Estero,AR,2021-11-29 23:42:10,-27.7951,-64.2615,77.81,34,0,10.02
101,Pokhara,NP,2021-11-29 23:42:10,28.2333,83.9833,55.26,42,70,4.16
102,Cherskiy,RU,2021-11-29 23:42:10,68.75,161.3,-15.68,98,100,5.28
103,Tungao,PH,2021-11-29 23:42:11,8.7772,125.5719,79.27,85,85,1.39
104,San Patricio,US,2021-11-29 23:42:11,28.017,-97.5169,69.78,59,65,7.49
105,Qaanaaq,GL,2021-11-29 23:42:11,77.484,-69.3632,11.03,59,100,5.53
106,Karratha,AU,2021-11-29 23:42:12,-20.7377,116.8463,87.28,46,2,12.28
107,Lodja,CD,2021-11-29 23:42:12,-3.4833,23.4333,68.05,98,100,1.5
108,Majene,ID,2021-11-29 23:42:13,-3.5403,118.9707,80.98,74,98,2.48
109,Liverpool,GB,2021-11-29 23:42:13,53.4106,-2.9779,49.68,91,75,10.0
110,Phanom Thuan,TH,2021-11-29 23:42:13,14.1303,99.6986,73.78,68,100,14.61
111,Inhambane,MZ,2021-11-29 23:42:14,-23.865,35.3833,72.16,79,2,9.73
112,Hobart,AU,2021-11-29 23:42:14,-42.8794,147.3294,69.26,56,20,1.99
113,Longonjo,AO,2021-11-29 23:42:15,-12.9067,15.2533,64.15,98,100,0.22
114,Los Llanos De Aridane,ES,2021-11-29 23:42:15,28.6585,-17.9182,60.12,80,75,10.0
115,Nishihara,JP,2021-11-29 23:42:15,26.1842,127.7558,71.26,83,75,10.36
116,Krasnoselkup,RU,2021-11-29 23:42:16,65.7,82.4667,7.61,96,100,4.92
117,Coahuayana,MX,2021-11-29 23:42:16,18.7333,-103.6833,78.64,67,11,2.93
118,Kaitangata,NZ,2021-11-29 23:42:17,-46.2817,169.8464,62.92,54,100,8.37
119,Kahului,US,2021-11-29 23:39:35,20.8947,-156.47,82.42,68,20,14.97
120,Booue,GA,2021-11-29 23:42:17,-0.0921,11.9385,72.79,98,91,0.72
121,Kandrian,PG,2021-11-29 23:42:18,-6.2167,149.55,84.99,73,100,7.09
122,Cabo San Lucas,MX,2021-11-29 23:42:18,22.8909,-109.9124,83.52,59,100,3.0
123,Carnarvon,AU,2021-11-29 23:42:18,-24.8667,113.6333,71.67,73,40,21.85
124,Tasiilaq,GL,2021-11-29 23:42:19,65.6145,-37.6368,23.16,90,100,8.43
125,Tiksi,RU,2021-11-29 23:42:19,71.6872,128.8694,-22.23,99,96,6.02
126,Storm Lake,US,2021-11-29 23:42:20,42.6411,-95.2097,58.24,41,1,14.97
127,Carutapera,BR,2021-11-29 23:42:20,-1.195,-46.02,77.52,91,95,6.04
128,Victoria,HK,2021-11-29 23:42:20,22.2855,114.1577,71.33,70,1,13.0
129,Shebalino,RU,2021-11-29 23:42:20,51.2917,85.6772,16.9,79,16,6.02
130,Mata De Platano,HN,2021-11-29 23:42:21,14.6,-87.2833,65.28,94,51,5.44
131,Dzhebariki-Khaya,RU,2021-11-29 23:42:21,62.2167,135.8,-13.11,99,100,0.2
132,Cidreira,BR,2021-11-29 23:42:22,-30.1811,-50.2056,73.89,60,37,13.94
133,Sinnamary,GF,2021-11-29 23:42:22,5.3833,-52.95,77.94,89,97,8.03
134,Praya,CV,2021-11-29 23:39:38,14.9215,-23.5087,73.94,68,40,20.71
135,Jiuquan,CN,2021-11-29 23:42:23,39.7432,98.5174,19.51,39,2,1.25
136,Rawson,AR,2021-11-29 23:42:23,-43.3002,-65.1023,60.04,56,0,11.01
137,Eureka,US,2021-11-29 23:42:23,40.8021,-124.1637,59.67,92,91,1.01
138,Havelock,US,2021-11-29 23:43:24,34.8791,-76.9013,46.35,64,29,4.92
139,Soyo,AO,2021-11-29 23:43:24,-6.1349,12.3689,78.82,89,99,8.61
140,Broken Hill,AU,2021-11-29 23:43:25,-31.95,141.4333,82.11,34,63,8.05
141,Verkhnevilyuysk,RU,2021-11-29 23:43:25,63.4453,120.3167,-10.66,98,100,2.82
142,Sitka,US,2021-11-29 23:43:26,57.0531,-135.33,39.09,65,90,23.02
143,Sindou,BF,2021-11-29 23:43:26,10.6667,-5.1667,75.47,17,1,4.23
144,Magalia,US,2021-11-29 23:43:26,39.8121,-121.5783,68.22,61,3,1.54
145,Cockburn Town,TC,2021-11-29 23:43:27,21.4612,-71.1419,75.16,83,75,2.3
146,Champerico,GT,2021-11-29 23:43:27,14.3,-91.9167,86.54,68,0,4.99
147,Parabel,RU,2021-11-29 23:43:27,58.6978,81.4825,18.59,77,100,11.74
148,Luderitz,NA,2021-11-29 23:43:28,-26.6481,15.1594,60.17,86,0,12.41
149,Leningradskiy,RU,2021-11-29 23:43:28,69.3833,178.4167,-21.84,96,56,8.72
150,Tateyama,JP,2021-11-29 23:43:29,34.9833,139.8667,62.87,69,39,17.02
151,Yaring,TH,2021-11-29 23:43:29,6.8662,101.3689,75.63,88,100,6.35
152,Nagua,DO,2021-11-29 23:43:29,19.3832,-69.8474,81.45,83,40,4.61
153,Vila Velha,BR,2021-11-29 23:41:09,-20.3297,-40.2925,78.75,89,75,3.0
154,Yeppoon,AU,2021-11-29 23:43:30,-23.1333,150.7333,80.38,73,61,9.86
155,Fort Smith,US,2021-11-29 23:43:30,35.3859,-94.3986,64.44,44,1,4.61
156,Morondava,MG,2021-11-29 23:43:31,-20.2833,44.2833,72.01,88,1,6.96
157,Hofn,IS,2021-11-29 23:43:31,64.2539,-15.2082,27.61,88,100,12.35
158,Bereda,ES,2021-11-29 23:43:31,43.2686,-7.5406,49.01,100,97,1.52
159,Oktyabrskoye,RU,2021-11-29 23:43:32,43.0645,44.7417,46.54,66,33,13.42
160,Maragogi,BR,2021-11-29 23:43:32,-9.0122,-35.2225,79.0,83,67,10.36
161,Yulara,AU,2021-11-29 23:43:32,-25.2406,130.9889,80.44,22,0,4.61
162,Lata,PT,2021-11-29 23:43:33,40.1629,-8.3327,49.82,87,97,1.95
163,Thompson,CA,2021-11-29 23:43:33,55.7435,-97.8558,24.96,93,90,8.05
164,Esperance,AU,2021-11-29 23:43:33,-33.8667,121.9,60.64,62,100,12.33
165,Mayo,US,2021-11-29 23:43:34,38.8876,-76.5119,43.3,58,75,5.99
166,Bubaque,GW,2021-11-29 23:43:34,11.2833,-15.8333,82.6,64,84,13.31
167,Jinchang,CN,2021-11-29 23:43:34,38.4953,102.1739,26.26,25,0,4.92
168,Sumbe,AO,2021-11-29 23:43:35,-11.2061,13.8437,77.36,86,99,8.05
169,Calvinia,ZA,2021-11-29 23:43:35,-31.4707,19.776,53.55,75,20,6.53
170,Mount Gambier,AU,2021-11-29 23:43:35,-37.8333,140.7667,76.91,33,43,13.8
171,Aleksandrov Gay,RU,2021-11-29 23:43:36,50.147,48.5704,38.62,66,96,14.25
172,Tuktoyaktuk,CA,2021-11-29 23:43:36,69.4541,-133.0374,-14.8,70,75,19.57
173,Chicama,PE,2021-11-29 23:43:37,-7.8447,-79.1469,63.14,80,96,7.43
174,Kurilsk,RU,2021-11-29 23:43:37,45.2333,147.8833,39.61,79,93,1.81
175,Acapulco,MX,2021-11-29 23:43:37,16.8634,-99.8901,79.38,77,1,5.97
176,Sao Filipe,CV,2021-11-29 23:43:38,14.8961,-24.4956,75.54,68,91,14.0
177,Houma,US,2021-11-29 23:43:38,29.5958,-90.7195,60.8,61,1,8.05
178,Zambezi,ZM,2021-11-29 23:43:39,-13.5432,23.1047,65.34,88,99,3.78
179,Arroyo,ES,2021-11-29 23:43:39,41.6096,-4.7969,39.6,87,0,5.75
180,Brae,GB,2021-11-29 23:43:39,60.3964,-1.353,39.11,57,90,24.54
181,Rocha,UY,2021-11-29 23:43:40,-34.4833,-54.3333,64.33,94,100,20.38
182,Padang,ID,2021-11-29 23:43:40,-0.9492,100.3543,75.25,84,72,2.57
183,Souillac,MU,2021-11-29 23:43:40,-20.5167,57.5167,74.35,83,40,3.44
184,Bilma,NE,2021-11-29 23:44:41,18.6853,12.9164,71.55,25,49,14.83
185,Coquimbo,CL,2021-11-29 23:44:41,-29.9533,-71.3436,60.53,77,75,10.36
186,Bartica,GY,2021-11-29 23:44:42,6.4,-58.6167,79.12,98,64,2.95
187,Kavieng,PG,2021-11-29 23:44:42,-2.5744,150.7967,85.21,67,100,16.58
188,Mahebourg,MU,2021-11-29 23:44:42,-20.4081,57.7,74.25,83,40,3.44
189,Cayenne,GF,2021-11-29 23:44:43,4.9333,-52.3333,80.1,85,75,1.01
190,Sisimiut,GL,2021-11-29 23:44:43,66.9395,-53.6735,31.23,87,99,10.38
191,Trinidad,BO,2021-11-29 23:44:44,-14.8333,-64.9,75.18,94,90,0.0
192,Sorland,NO,2021-11-29 23:44:44,67.667,12.6934,34.12,48,100,2.84
193,Saint George,US,2021-11-29 23:44:44,37.1041,-113.5841,73.35,21,1,1.99
194,Mandurah,AU,2021-11-29 23:44:44,-32.55,115.7,62.22,59,0,13.2
195,Hovd,MN,2021-11-29 23:44:45,48.0056,91.6419,15.1,50,0,0.25
196,Lubango,AO,2021-11-29 23:44:45,-14.9172,13.4925,62.37,67,62,2.82
197,Santa Maria Da Vitoria,BR,2021-11-29 23:44:45,-13.3947,-44.1886,71.58,94,100,3.15
198,Bogorodskoye,RU,2021-11-29 23:44:46,56.55,37.8833,37.09,96,100,14.47
199,Klaksvik,FO,2021-11-29 23:44:46,62.2266,-6.589,34.72,62,100,11.92
200,Riyadh,SA,2021-11-29 23:39:57,24.6877,46.7219,59.14,30,0,7.58
201,Ugoofaaru,MV,2021-11-29 23:44:47,5.6667,73.0,79.12,83,100,9.75
202,Bredasdorp,ZA,2021-11-29 23:44:47,-34.5322,20.0403,59.29,72,43,4.47
203,Qasigiannguit,GL,2021-11-29 23:44:47,68.8193,-51.1922,30.45,89,100,6.17
204,Lagoa,PT,2021-11-29 23:44:48,39.05,-27.9833,60.62,62,86,6.89
205,Ambon,ID,2021-11-29 23:44:48,-3.6954,128.1814,80.74,89,40,4.61
206,Tocopilla,CL,2021-11-29 23:44:49,-22.092,-70.1979,64.54,69,13,3.15
207,Mafinga,TZ,2021-11-29 23:44:49,-7.25,35.0667,69.06,76,74,3.53
208,Sulangan,PH,2021-11-29 23:44:49,11.1373,123.7228,82.13,78,91,7.43
209,Arraial Do Cabo,BR,2021-11-29 23:44:50,-22.9661,-42.0278,76.96,88,0,12.66
210,Bethel,US,2021-11-29 23:44:51,41.3712,-73.414,37.49,71,75,1.01
211,Lujan,AR,2021-11-29 23:44:51,-34.5703,-59.105,73.98,59,6,3.0
212,Maniitsoq,GL,2021-11-29 23:44:51,65.4167,-52.9,34.32,83,100,19.24
213,Port Hardy,CA,2021-11-29 23:44:52,50.6996,-127.4199,50.18,93,90,6.91
214,La Ronge,CA,2021-11-29 23:44:52,55.1001,-105.2842,26.85,68,75,10.36
215,Beloha,MG,2021-11-29 23:44:52,-25.1667,45.05,66.24,93,2,9.15
216,Manokwari,ID,2021-11-29 23:44:53,-0.8667,134.0833,81.75,78,100,4.36
217,Vanimo,PG,2021-11-29 23:44:53,-2.6741,141.3028,83.95,75,100,3.22
218,Yellowknife,CA,2021-11-29 23:44:53,62.456,-114.3525,-14.58,78,20,1.99
219,Jumla,NP,2021-11-29 23:44:54,29.2747,82.1838,40.82,16,54,5.32
220,Breves,BR,2021-11-29 23:44:54,-1.6822,-50.4803,79.81,78,93,5.64
221,Lincoln,US,2021-11-29 23:42:09,40.8,-96.667,64.31,42,1,3.0
222,Kloulklubed,PW,2021-11-29 23:44:55,7.0419,134.2556,84.7,73,100,7.29
223,Vila Franca Do Campo,PT,2021-11-29 23:44:55,37.7167,-25.4333,60.19,75,69,4.83
224,Churapcha,RU,2021-11-29 23:44:55,62.0025,132.4325,-14.39,100,100,0.78
225,Petropavlovsk-Kamchatskiy,RU,2021-11-29 23:43:13,53.0452,158.6483,21.79,93,90,11.18
226,Vardo,NO,2021-11-29 23:44:56,70.3705,31.1107,23.27,84,100,28.07
227,Clyde River,CA,2021-11-29 23:41:10,70.4692,-68.5914,-0.17,78,90,9.22
228,Ribeira Grande,PT,2021-11-29 23:44:56,38.5167,-28.7,62.08,59,22,6.22
229,El Rusio,HN,2021-11-29 23:44:56,14.4667,-86.3667,65.73,79,77,1.39
230,Najran,SA,2021-11-29 23:45:57,17.4924,44.1277,57.85,51,0,2.15
231,Horta,PT,2021-11-29 23:45:57,38.5333,-28.6333,60.64,63,15,6.17
232,Camopi,GF,2021-11-29 23:45:58,3.1655,-52.3158,73.31,99,100,2.35
233,Ambunti,PG,2021-11-29 23:45:58,-4.2365,142.8448,86.29,69,94,0.78
234,Belmonte,BR,2021-11-29 23:45:58,-15.8631,-38.8828,79.3,92,64,11.1
