City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
246,Sri Aman,MY,77.2,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
247,Sola,VU,86.67,few clouds,-13.8833,167.55,Leumerus Bungalows
249,Port Blair,IN,80.04,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
250,Singapore,SG,80.46,scattered clouds,1.2897,103.8501,The Fullerton Hotel Singapore
252,Tabou,CI,79.81,scattered clouds,4.423,-7.3528,hotêl doufoulougou
257,Mackay,AU,89.69,clear sky,-21.15,149.2,International Lodge Motel
264,Flinders,AU,81.18,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
266,Panama City,PA,80.06,overcast clouds,8.9936,-79.5197,Riande Urban Hotel
269,Amahai,ID,79.72,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
271,Tautira,PF,86.02,overcast clouds,-17.7333,-149.15,Pension Oaoa
276,San Jose,US,76.59,haze,37.3394,-121.895,The Westin San Jose
277,Ballina,AU,76.78,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
279,Gladstone,AU,88.79,broken clouds,-23.85,151.25,Highpoint International
280,Gigmoto,PH,79.07,overcast clouds,13.7796,124.39,Cj's Travellers Inn
281,Bandarbeyla,SO,75.31,clear sky,9.4942,50.8122,JABIR HOTEL
286,Hambantota,LK,75.09,few clouds,6.1241,81.1185,Bungalow 63
287,Emerald,AU,85.33,clear sky,-23.5333,148.1667,The Irish Village
299,Salinopolis,BR,81.27,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
300,Eruwa,NG,75.79,scattered clouds,7.5333,3.4167,Yinka Hostel
308,Itarema,BR,80.6,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
311,Maun,BW,75.16,clear sky,-19.9833,23.4167,Enviro Villa
316,Axim,GH,79.32,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
319,Faanui,PF,77.68,heavy intensity rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
321,Ixtapa,MX,79.83,few clouds,20.7,-105.2,Hotel Plaza Providencia
333,Fare,PF,80.83,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
334,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
336,Quatre Cocos,MU,77.11,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
340,Ijui,BR,75.22,clear sky,-28.3878,-53.9147,Hotel Vera Cruz
341,Blythe,US,82.85,clear sky,33.6103,-114.5964,Rodeway Inn & Suites
344,Trairi,BR,80.62,broken clouds,-3.2778,-39.2689,janelas do mar
348,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
353,Hervey Bay,AU,84.04,clear sky,-25.2986,152.8535,Shelly Bay Resort
354,Karratha,AU,89.64,clear sky,-20.7377,116.8463,ibis Styles Karratha
359,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
360,Mitsamiouli,KM,80.01,scattered clouds,-11.3847,43.2844,Foyer ADM
378,Neiafu,TO,83.08,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
380,Resistencia,AR,80.65,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
387,Beira,MZ,75.29,few clouds,-19.8436,34.8389,Beira Terrace Hotel
388,Nagua,DO,76.44,scattered clouds,19.3832,-69.8474,Hotel Cambri
394,Half Moon Bay,US,76.19,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
397,Cotui,DO,79.88,scattered clouds,19.0527,-70.1494,Hostal Maria Yobón
401,Auki,SB,83.97,overcast clouds,-8.7676,160.7034,Auki Motel
403,Kuah,MY,78.78,moderate rain,6.3265,99.8432,Azio Hotel
405,Abonnema,NG,79.09,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
408,Bonoua,CI,76.62,broken clouds,5.2741,-3.595,Hotel Bon Samaritian
415,San Andres,CO,82.42,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
417,Mildura,AU,89.08,scattered clouds,-34.2,142.15,Mercure Hotel Mildura
427,Biak,ID,78.3,overcast clouds,-0.9131,122.8766,Penginapan Kim
433,Port-Gentil,GA,78.78,light rain,-0.7193,8.7815,Fengshui Residence
434,Sinnamary,GF,78.31,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
450,Buchanan,LR,78.82,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
452,Narrabri,AU,81.52,clear sky,-30.3167,149.7833,Crossroads Hotel
459,Mayumba,GA,76.39,overcast clouds,-3.432,10.6554,LIKWALE LODGE
460,Cockburn Town,TC,80.64,clear sky,21.4612,-71.1419,Osprey Beach Hotel
465,Alugan,PH,80.46,overcast clouds,12.2188,125.4808,JM Lodge
473,Albury,AU,87.15,clear sky,-36.0833,146.9167,Albury Georgian Motel & Suites
475,Paracuru,BR,82.42,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
478,Celestun,MX,75.97,clear sky,20.8667,-90.4,Posada Lilia
479,Manokwari,ID,81.64,moderate rain,-0.8667,134.0833,Swiss Belhotel Manokwari
480,Pangkalanbuun,ID,78.37,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
484,Aden,YE,78.62,clear sky,12.7794,45.0367,Sama Emirate Hotel
486,Kedougou,SN,75.78,few clouds,12.5579,-12.1743,Relais de Kédougou
497,Kieta,PG,86.34,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
498,Aku,NG,75.24,broken clouds,6.7081,7.3167,Diewa Hotel And Resort
499,Maragogi,BR,78.69,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
500,Bucerias,MX,80.58,few clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
501,Lobito,AO,77.05,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
503,Vila Do Maio,CV,75.56,overcast clouds,15.1333,-23.2167,Hotel Marilu
524,Lokoja,NG,78.78,broken clouds,7.8024,6.743,Hotel Charvid
525,Aloleng,PH,77.85,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
533,Launceston,AU,81.61,clear sky,-41.45,147.1667,Hotel Grand Chancellor Launceston
542,Puerto Escondido,MX,83.23,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
543,Padang,ID,77.05,few clouds,-0.9492,100.3543,Mercure Padang
544,Portobelo,PA,78.04,overcast clouds,9.55,-79.65,Scuba Portobelo
546,Duverge,DO,76.39,scattered clouds,18.3784,-71.5247,Hotel La Casona
551,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
561,Zacualpan,MX,83.82,broken clouds,21.25,-105.1667,La Colorada B&B
563,Luganville,VU,84.54,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
564,Wahiawa,US,82.72,few clouds,21.5028,-158.0236,Aloha Wahiawa
566,Harper,LR,79.57,light rain,4.375,-7.7169,Screensaver
571,Alyangula,AU,89.47,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
572,Marang,MY,75.11,light rain,5.2056,103.2059,DBarakah Homestay
573,Inirida,CO,76.78,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
574,Kroya,ID,79.88,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
580,Araguacu,BR,76.95,moderate rain,-12.9306,-49.8264,Hotel Tocantins
581,Samarai,PG,85.66,overcast clouds,-10.6167,150.6667,Nuli Sapi
583,Sarangani,PH,83.35,overcast clouds,5.4033,125.4636,Ballistic Islet
587,Serowe,BW,75.4,scattered clouds,-22.3833,26.7167,Hill View Inn
589,Keningau,MY,77.45,overcast clouds,5.3378,116.1602,Sabindo Hotel
590,Bowen,AU,84.06,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
593,Cukai,MY,77.14,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
599,Benalla,AU,86.99,clear sky,-36.55,145.9833,Rose City Motor Inn
602,Les Cayes,HT,76.64,scattered clouds,18.2,-73.75,Villa Orphee
606,Poum,NC,81.99,few clouds,-20.2333,164.0167,Gîte kajeon
609,Kirakira,SB,84.58,broken clouds,-10.4544,161.9205,SanBiz Lodge
614,Savelugu,GH,80.82,broken clouds,9.6244,-0.8253,Yoo Naa's Palace
618,Jardim,BR,82.22,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
621,Labuhan,ID,80.22,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
622,Lamu,KE,80.82,light rain,-2.2717,40.902,Lamu House
624,Angoche,MZ,77.38,clear sky,-16.2325,39.9086,Guest House HESADA
635,Sydney,AU,80.8,scattered clouds,-33.8679,151.2073,The Grace Sydney
648,General Roca,AR,77.63,broken clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
649,Nelson Bay,AU,77.09,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
660,Todos Santos,MX,82.0,broken clouds,23.45,-110.2167,Hotel California Todos Santos
679,Nouna,BF,77.79,clear sky,12.7333,-3.8667,Sabunyuma So
680,Lazaro Cardenas,MX,80.17,scattered clouds,17.9583,-102.2,quinta antigua
682,Sokoni,TZ,80.83,few clouds,-6.4333,39.55,Ujamaa Beach Resort
683,Daru,PG,84.45,overcast clouds,-9.0763,143.2092,Daru Lodge
689,Kokoda,PG,87.87,overcast clouds,-8.8785,147.7407,Daito Guest House
